Name,Author,Keyword,Title,Link
邻家的百万富翁,,节俭;生活方式,周二读书（二）《邻家的百万富翁》,https://mp.weixin.qq.com/s?src=3&timestamp=1727341555&ver=1&signature=Yx-4*NIasakphM*hd5V60TQJdKYMVUeXsUX8TIh*mv9Riz5laVHA1yZ1NNJSR1x15H3jHKvQ8wMy64oLH3syzwo5HURbcyzEQkyh5lpcnCd*szVDZr3AmjPH7r48pgIsjKKexbycmBMgRDWeDuTr-g%3D%3D
漫步华尔街,,金融史;投资心理学,周二读书（3）《漫步华尔街》,https://mp.weixin.qq.com/s?src=3&timestamp=1727341555&ver=1&signature=Yx-4*NIasakphM*hd5V60TQJdKYMVUeXsUX8TIh*mv81hwzPyyhO0-D4aJBp1JflUa80WRIa7mptBs3PBihO8csy*RgZyxxIgWmdwlMXzqGXZO04FL8rrJLKYB1crmgqaBPW4VbdnHn6iVOorijjfg%3D%3D
股市长线法宝,,,周二读书（4）《股市长线法宝》,https://mp.weixin.qq.com/s?src=3&timestamp=1727342312&ver=1&signature=Yx-4*NIasakphM*hd5V60TQJdKYMVUeXsUX8TIh*mv*jYCtzS3ObjWvrIX-BwDPxTpRM8n61mQWFPU4BBw-M3eBVvHNVyQugjypSWAkAuk1FDO97UTAVE945udW9mvW739*74CLILLTzXUHQnIVifw%3D%3D
