,date,open,high,low,close,volume
0,2015-05-19,13827.255,13961.964,13431.631,13883.746,197510800
1,2015-05-20,13908.32,14548.102,13899.874,14330.086,234258880
2,2015-05-21,14526.6,15333.134,14505.875,15279.076,291468832
3,2015-05-22,15703.388,15805.895,14909.713,15231.924,264869168
4,2015-05-25,14877.757,15236.577,14714.589,15127.23,202376480
5,2015-05-26,15127.685,15658.722,15127.685,15651.121,216426528
6,2015-05-27,15673.392,15696.856,15210.532,15315.995,196176128
7,2015-05-28,15267.736,15455.827,14512.05,14512.05,227808512
8,2015-05-29,14500.259,15075.152,13929.829,14779.925,199854928
9,2015-06-01,14936.726,15643.657,14936.726,15643.079,191540592
10,2015-06-02,15755.086,16352.41,15752.1,16319.3,220773312
11,2015-06-03,16324.106,16455.805,15708.12,16308.976,200191504
12,2015-06-04,16247.408,16374.055,15179.944,16231.893,218862224
13,2015-06-05,16438.682,16685.111,15926.926,16099.276,206367840
14,2015-06-08,16028.629,16049.925,15262.763,15510.046,200382240
15,2015-06-09,15474.781,15708.014,15272.743,15553.024,194396448
16,2015-06-10,15496.3,16368.784,15387.517,16261.354,230817216
17,2015-06-11,16347.143,16618.57,16196.509,16581.301,217374640
18,2015-06-12,16630.639,17115.197,16630.639,16957.758,248197632
19,2015-06-15,17015.771,17053.219,16219.125,16282.867,390516256
20,2015-06-16,16065.097,16128.924,15395.892,15760.678,352537248
21,2015-06-17,15753.092,16260.421,15208.245,16157.666,344347520
22,2015-06-18,16100.846,16221.388,15193.718,15232.134,322936320
23,2015-06-19,14757.744,14932.772,14030.246,14143.979,325532640
24,2015-06-23,13982.881,14356.27,13165.228,14298.035,337699648
25,2015-06-24,14390.92,14589.818,13897.427,14333.497,318799904
26,2015-06-25,14364.016,14398.32,13586.848,13800.635,291614816
27,2015-06-26,13336.251,13336.251,12632.99,12663.786,265735072
28,2015-06-29,12876.796,12906.074,11618.053,11801.079,347742976
29,2015-06-30,11271.974,12535.168,10918.171,12513.872,470365504
30,2015-07-01,12445.092,13033.253,11944.069,12060.458,472803392
31,2015-07-02,11936.674,12082.533,11153.133,11439.269,431022912
32,2015-07-03,11017.795,11830.881,10541.408,11052.061,456220704
33,2015-07-06,11795.049,11795.049,10163.198,10613.265,560282496
34,2015-07-07,10065.485,10079.943,9819.151,9820.54,188715504
35,2015-07-08,9400.051,9662.067,9400.051,9644.573,612571008
36,2015-07-09,9530.221,9952.848,9530.221,9949.603,216672176
37,2015-07-10,10238.16,10414.985,10225.827,10403.14,150966784
38,2015-07-13,10733.506,10924.588,10637.519,10887.624,247587888
39,2015-07-14,11157.342,11517.614,11089.177,11272.662,314839104
40,2015-07-15,11325.325,11325.325,10548.254,10616.783,516676000
41,2015-07-16,10296.838,11115.662,9908.375,10751.055,574857792
42,2015-07-17,10869.715,11575.269,10823.284,11493.596,477018816
43,2015-07-20,11589.152,12018.702,11467.727,11831.03,490053568
44,2015-07-21,11626.725,12149.239,11539.612,12054.958,444025920
45,2015-07-22,11990.038,12143.94,11717.095,12029.839,416578656
46,2015-07-23,12014.914,12374.781,11927.349,12327.99,397809824
47,2015-07-24,12424.07,12632.024,12062.377,12178.837,468382176
48,2015-07-27,11934.771,12250.579,11267.288,11267.829,414539680
49,2015-07-28,10641.748,11372.095,10447.614,10865.747,605990656
50,2015-07-29,11036.098,11215.464,10334.465,11215.0,500764512
51,2015-07-30,11105.207,11187.882,10535.77,10556.2,386589696
52,2015-07-31,10336.177,10623.115,10269.608,10408.967,309680480
53,2015-08-03,10177.197,10270.184,9786.543,9941.44,396899648
54,2015-08-04,9988.622,10531.852,9919.287,10531.62,382354304
55,2015-08-05,10543.897,10797.928,10353.781,10446.167,372598368
56,2015-08-06,10208.381,10480.22,10154.213,10324.626,215485600
57,2015-08-07,10443.623,10827.038,10443.623,10823.919,344824256
58,2015-08-10,10972.299,11497.373,10899.567,11393.968,404069376
59,2015-08-11,11373.482,11490.837,11216.532,11253.461,381145376
60,2015-08-12,11117.458,11306.766,11023.812,11023.812,289305984
61,2015-08-13,10959.884,11240.755,10820.225,11240.639,296275520
62,2015-08-14,11324.769,11402.589,11197.738,11256.174,316674528
63,2015-08-17,11240.621,11271.118,10957.712,11271.046,273577440
64,2015-08-18,11268.481,11373.015,10464.827,10493.576,364994464
65,2015-08-19,10230.246,10749.629,9939.392,10714.437,320068032
66,2015-08-20,10726.189,10824.95,10493.606,10493.606,244086752
67,2015-08-21,10293.648,10400.716,9968.714,9982.294,298796192
68,2015-08-24,9525.386,9599.711,9244.632,9244.632,275190464
69,2015-08-25,8659.66,8895.736,8582.714,8588.502,293524000
70,2015-08-26,8637.171,8844.415,8192.84,8248.388,402283264
71,2015-08-27,8425.912,8557.957,8125.404,8557.957,335442944
72,2015-08-28,8686.882,9062.518,8633.732,9061.066,368446080
73,2015-08-31,8923.642,8944.267,8699.114,8710.845,290736928
74,2015-09-01,8604.83,8604.83,8187.97,8235.254,281546848
75,2015-09-02,7857.346,8443.452,7857.346,8151.977,342315680
76,2015-09-07,8224.424,8491.597,8224.424,8261.473,292251840
77,2015-09-08,8193.159,8683.39,8162.666,8675.632,272386880
78,2015-09-09,8740.626,9045.449,8708.049,8990.418,407441440
79,2015-09-10,8820.976,9002.881,8798.623,8808.822,254593216
80,2015-09-11,8789.675,8914.579,8710.578,8828.992,214878720
81,2015-09-14,8864.277,8882.591,8239.158,8262.122,263399728
82,2015-09-15,8026.482,8215.708,7836.51,7852.021,251954176
83,2015-09-16,7927.188,8360.049,7889.281,8342.285,284050976
84,2015-09-17,8397.434,8638.959,8316.147,8317.183,339610944
85,2015-09-18,8375.894,8550.753,8314.713,8511.519,241176416
86,2015-09-21,8412.639,8942.464,8388.44,8936.418,349567136
87,2015-09-22,8986.104,9085.251,8868.967,8954.739,374650560
88,2015-09-23,8830.458,9012.353,8811.741,8926.526,283137568
89,2015-09-24,8961.223,9092.114,8943.627,9053.146,261458832
90,2015-09-25,9005.697,9076.003,8699.484,8773.834,294348864
91,2015-09-28,8791.55,9141.781,8718.576,9141.737,247573728
92,2015-09-29,9028.612,9162.153,8975.973,9028.963,233655200
93,2015-09-30,9121.892,9165.355,8942.767,9080.331,249867632
94,2015-10-08,9315.427,9565.905,9274.431,9467.752,319642208
95,2015-10-09,9451.723,9557.741,9402.435,9517.302,293825536
96,2015-10-12,9571.225,9970.46,9566.673,9866.823,357827616
97,2015-10-13,9804.652,10007.446,9777.266,10002.195,312821568
98,2015-10-14,9874.89,10053.709,9803.18,9839.622,374373280
99,2015-10-15,9734.648,10102.444,9734.648,10102.09,371360032
100,2015-10-16,10158.815,10258.738,9965.557,10147.305,413724352
101,2015-10-19,10175.461,10195.353,9889.921,10038.355,393468160
102,2015-10-20,10032.97,10347.762,9996.912,10322.658,405802560
103,2015-10-21,10330.156,10704.792,9862.054,9924.946,603035136
104,2015-10-22,10054.515,10694.22,10048.859,10694.22,610685312
105,2015-10-23,11161.914,11368.816,11134.0,11214.07,631022208
106,2015-10-26,11362.578,11362.578,10755.665,10973.365,704844544
107,2015-10-27,10834.512,11352.987,10498.789,11201.005,685856640
108,2015-10-28,11071.913,11133.842,10616.484,10680.258,543731328
109,2015-10-29,10774.738,10869.466,10577.203,10713.272,436251872
110,2015-10-30,10712.453,10859.273,10479.866,10614.209,453980992
111,2015-11-02,10320.006,10657.7,10264.425,10291.281,404232256
112,2015-11-03,10326.703,10401.978,10141.563,10215.073,337066496
113,2015-11-04,10306.329,10931.542,10306.329,10931.499,529789760
114,2015-11-05,10993.804,11058.98,10717.189,10826.12,562489152
115,2015-11-06,10836.246,11087.715,10836.246,11061.269,455485376
116,2015-11-09,10963.96,11341.477,10900.959,11264.69,550843328
117,2015-11-10,11224.815,11484.322,11160.463,11321.599,518914368
118,2015-11-11,11271.203,11637.239,11230.301,11636.542,513352128
119,2015-11-12,11749.806,11831.658,11474.505,11609.713,583268736
120,2015-11-13,11458.958,11458.958,11060.966,11106.782,422445024
121,2015-11-16,10872.96,11275.107,10847.196,11275.074,313548576
122,2015-11-17,11368.847,11437.275,11033.589,11069.292,485988736
123,2015-11-18,11052.783,11095.027,10743.596,10746.841,317416672
124,2015-11-19,10782.978,11019.142,10776.246,11019.142,248846816
125,2015-11-20,11016.707,11146.091,10995.47,11078.046,332677888
126,2015-11-23,11098.277,11286.998,10975.09,11019.897,370642208
127,2015-11-24,10977.17,11112.314,10882.918,11112.314,269835040
128,2015-11-25,11137.963,11620.674,11124.863,11595.642,550528832
129,2015-11-26,11660.183,11662.393,11329.097,11355.058,498214528
130,2015-11-27,11274.79,11274.79,10534.677,10623.199,467906880
131,2015-11-30,10643.294,10753.95,10176.597,10678.122,339333504
132,2015-12-01,10710.191,10855.042,10602.144,10728.521,261077056
133,2015-12-02,10712.206,10731.374,10222.893,10562.687,260452080
134,2015-12-03,10609.788,10802.455,10607.111,10800.574,241003808
135,2015-12-04,10788.89,10908.839,10650.699,10689.769,269788000
136,2015-12-07,10698.383,10841.415,10620.79,10840.991,248164656
137,2015-12-08,10764.733,10777.676,10515.569,10531.395,245808864
138,2015-12-09,10478.126,10533.269,10365.575,10443.839,225656128
139,2015-12-10,10435.961,10523.955,10394.529,10430.289,212115744
140,2015-12-11,10404.954,10432.247,10276.536,10292.886,181456368
141,2015-12-14,10213.159,10466.688,10175.613,10465.62,182247808
142,2015-12-15,10506.795,10671.944,10478.387,10596.9,275807776
143,2015-12-16,10603.879,10657.315,10569.721,10594.541,229313184
144,2015-12-17,10644.842,10831.295,10644.842,10831.215,329208896
145,2015-12-18,10835.176,10954.768,10762.515,10915.203,365208608
146,2015-12-21,10967.788,11123.152,10932.759,11027.372,396753888
147,2015-12-22,11014.558,11121.268,10929.228,11117.014,331164416
148,2015-12-23,11088.418,11110.311,10877.09,10887.392,331531264
149,2015-12-24,10859.04,10916.201,10705.619,10895.165,244747344
150,2015-12-25,10882.445,10967.679,10836.912,10906.514,231489712
151,2015-12-28,10928.379,11051.828,10652.787,10652.787,327300800
152,2015-12-29,10636.096,10720.137,10533.813,10720.137,265935776
153,2015-12-30,10742.248,10899.423,10711.767,10891.996,279872736
154,2015-12-31,10916.925,10932.139,10616.747,10617.295,260735424
155,2016-01-04,10611.978,10611.978,9699.681,9715.57,238909248
156,2016-01-05,9209.276,9753.053,9115.923,9443.608,349037568
157,2016-01-06,9512.546,9611.854,9348.742,9599.953,255170304
158,2016-01-07,9410.017,9410.017,8767.491,8782.276,69462016
159,2016-01-08,8974.161,9072.904,8389.343,8825.786,303816192
160,2016-01-11,8637.557,8764.03,8202.671,8205.001,292383744
161,2016-01-12,8219.783,8480.499,8164.718,8389.511,276220160
162,2016-01-13,8443.132,8484.741,8079.756,8080.642,241222752
163,2016-01-14,7842.879,8500.506,7827.168,8496.063,297496480
164,2016-01-15,8461.673,8556.558,8211.282,8302.663,297781536
165,2016-01-18,8188.97,8592.906,8188.97,8498.941,258570928
166,2016-01-19,8436.964,8777.922,8384.462,8764.143,303543328
167,2016-01-20,8714.483,8781.287,8548.516,8594.204,283771264
168,2016-01-21,8462.105,8696.355,8228.042,8230.643,263728576
169,2016-01-22,8349.308,8387.503,8027.217,8273.416,254048864
170,2016-01-25,8356.886,8419.403,8241.555,8325.58,197608048
171,2016-01-26,8230.111,8250.528,7702.549,7715.711,261372352
172,2016-01-27,7728.858,7757.167,7238.355,7618.528,279800768
173,2016-01-28,7506.77,7631.95,7294.083,7332.022,225703872
174,2016-01-29,7313.242,7702.735,7313.242,7640.488,224468512
175,2016-02-01,7598.68,7677.966,7461.736,7569.021,190026592
176,2016-02-02,7581.244,7883.748,7581.244,7848.854,220188528
177,2016-02-03,7746.792,7912.483,7684.861,7866.109,179965984
178,2016-02-04,7887.807,8068.527,7887.807,8032.866,221625472
179,2016-02-05,8050.608,8064.706,7951.805,7953.66,161184288
180,2016-02-15,7687.693,8005.733,7687.693,7957.74,161733856
181,2016-02-16,7992.435,8313.163,7992.435,8298.0,260482832
182,2016-02-17,8278.128,8351.007,8186.242,8351.007,260802240
183,2016-02-18,8397.499,8438.225,8280.421,8282.504,278258592
184,2016-02-19,8243.086,8373.855,8239.145,8349.981,248608928
185,2016-02-22,8490.667,8502.453,8402.511,8468.905,264013152
186,2016-02-23,8470.811,8484.203,8275.131,8415.764,268341312
187,2016-02-24,8457.439,8539.659,8302.516,8460.323,284867168
188,2016-02-25,8439.487,8441.249,7819.823,7834.527,296915488
189,2016-02-26,7818.211,7879.422,7554.015,7672.876,253653536
190,2016-02-29,7610.581,7620.515,7112.15,7149.833,242314656
191,2016-03-01,7159.584,7378.441,6999.472,7313.371,218871296
192,2016-03-02,7304.95,7648.793,7297.18,7635.862,257340240
193,2016-03-03,7624.989,7830.155,7586.89,7646.451,300119456
194,2016-03-04,7580.824,7635.685,7226.532,7291.69,273392192
195,2016-03-07,7366.372,7578.201,7366.372,7456.747,202652688
196,2016-03-08,7431.084,7559.351,7133.205,7558.839,250620384
197,2016-03-09,7399.928,7697.967,7341.618,7536.365,278591136
198,2016-03-10,7512.452,7595.953,7362.849,7373.555,207052608
199,2016-03-11,7299.666,7411.152,7259.966,7350.638,141362048
200,2016-03-14,7450.556,7746.2,7450.556,7656.823,257272448
201,2016-03-15,7661.219,7688.821,7570.789,7586.879,202550112
202,2016-03-16,7671.247,7700.836,7455.444,7506.569,197046224
203,2016-03-17,7537.225,7851.689,7537.225,7842.024,320567136
204,2016-03-18,7873.001,8198.256,7864.187,8138.227,427859168
205,2016-03-21,8220.775,8316.566,8197.969,8316.566,409282272
206,2016-03-22,8250.542,8423.743,8219.838,8340.708,348937536
207,2016-03-23,8328.784,8367.178,8234.598,8361.967,285234304
208,2016-03-24,8273.352,8347.789,8197.736,8197.736,299194752
209,2016-03-25,8200.378,8293.335,8157.725,8263.357,258667008
210,2016-03-28,8319.067,8404.721,8167.575,8189.786,313252736
211,2016-03-29,8134.054,8176.885,7922.761,7994.036,313600608
212,2016-03-30,8023.715,8331.926,8023.715,8331.926,341425728
213,2016-03-31,8361.053,8401.942,8258.376,8289.01,354100128
214,2016-04-01,8250.134,8270.623,8056.013,8191.348,288771584
215,2016-04-05,8195.426,8483.629,8191.175,8473.711,344900320
216,2016-04-06,8416.633,8518.232,8398.505,8517.977,346042880
217,2016-04-07,8595.032,8624.991,8380.983,8380.983,376820608
218,2016-04-08,8311.994,8353.915,8200.526,8316.071,294790176
219,2016-04-11,8402.869,8752.744,8402.869,8727.026,461076384
220,2016-04-12,8776.713,8847.577,8595.352,8717.363,510863552
221,2016-04-13,8731.063,8920.366,8703.37,8849.659,510469248
222,2016-04-14,8875.042,8910.179,8750.114,8871.9,376324896
223,2016-04-15,8870.576,8910.515,8763.163,8810.008,304680960
224,2016-04-18,8739.573,8739.573,8557.19,8599.23,293909024
225,2016-04-19,8659.86,8692.978,8559.269,8628.78,238828928
226,2016-04-20,8653.663,8672.153,7981.272,8064.008,410650304
227,2016-04-21,8042.761,8159.314,7975.973,7983.045,235921648
228,2016-04-22,7937.084,8150.343,7924.944,8143.206,209969488
229,2016-04-25,8103.651,8122.998,7939.472,8101.195,184520672
230,2016-04-26,8098.597,8272.836,8094.568,8272.759,209062720
231,2016-04-27,8303.183,8315.75,8169.68,8182.235,220903200
232,2016-04-28,8169.388,8219.603,8020.122,8209.739,222467104
233,2016-04-29,8160.734,8232.739,8127.472,8147.536,162054112
234,2016-05-03,8086.328,8385.524,8050.895,8385.524,269088224
235,2016-05-04,8340.557,8443.966,8334.734,8372.201,250365072
236,2016-05-05,8340.731,8453.313,8324.566,8437.038,233640704
237,2016-05-06,8435.578,8458.599,8071.97,8072.21,297085792
238,2016-05-09,7995.824,7995.824,7687.065,7719.08,242245669
239,2016-05-10,7706.657,7786.289,7681.023,7712.239,150876254
240,2016-05-11,7759.841,7831.333,7651.475,7717.069,175969098
241,2016-05-12,7602.616,7719.983,7480.716,7719.983,178583086
242,2016-05-13,7706.843,7801.835,7633.943,7675.458,159290241
243,2016-05-16,7660.996,7808.105,7618.542,7808.011,156678618
244,2016-05-17,7809.729,8134.447,7723.155,8037.289,303965853
245,2016-05-18,7937.625,7937.625,7653.639,7732.76,259587946
246,2016-05-19,7727.655,7912.328,7727.655,7754.292,242222681
247,2016-05-20,7665.811,7837.726,7643.335,7837.669,200450854
248,2016-05-23,7858.803,7950.188,7857.625,7938.425,227472611
249,2016-05-24,7927.549,7927.549,7762.318,7809.957,177453566
250,2016-05-25,7873.712,7951.505,7778.559,7802.265,196071963
