group0,group1,group2,code,name,variety,underlying,fundCompanyCode,link
海外成熟,全球,全球医疗,000369,广发全球医疗保健(QDII)(人民币)A,全球医疗保健,,0000065,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=000369&orgId=jjjl0000065#latestAnnouncement
海外新兴,香港,恒生,000071,华夏恒生ETF联接A,恒生指数,HSI,0000031,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=000071&orgId=jjjl0000031#latestAnnouncement
海外新兴,香港,恒生医疗,014424,博时恒生医疗保健ETF发起式联接(QDII)A,恒生医疗,,0000035,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=014424&orgId=jjjl0000035#latestAnnouncement
海外新兴,香港,恒生科技,012348,天弘恒生科技指数(QDII)A,恒生科技,HSTECH,0000085,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=012348&orgId=jjjl0000085#latestAnnouncement
海外新兴,海外互联,海外互联,164906,交银施罗德中证海外中国互联网指数(QDII-LOF)A,中国海外互联,,0000096,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=164906&orgId=jjjl0000096#latestAnnouncement
海外新兴,海外互联,海外互联,006327,易方达中证海外联接人民币A,易方达中概互联,,0000041,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=006327&orgId=jjjl0000041#latestAnnouncement
商品,原油,原油,501018,南方原油A,南方原油,,0000033,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=501018&orgId=jjjl0000033#latestAnnouncement
商品,原油,石油,160416,华安标普石油指数A,石油基金,,0000032,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=160416&orgId=jjjl0000032#latestAnnouncement
商品,原油,石油,162411,华宝标普石油指数A,华宝油气,,0000062,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=162411&orgId=jjjl0000062#latestAnnouncement
商品,黄金,黄金,000216,华安黄金易ETF联接A,黄金,,0000032,http://www.cninfo.com.cn/new/disclosure/stock?stockCode=000216&orgId=jjjl0000032#latestAnnouncement
