,date,open,high,low,close,volume
0,2014-11-10,1770.5,1784.204,1766.087,1783.952,502395328
1,2014-11-11,1783.81,1783.818,1720.479,1728.91,592258496
2,2014-11-12,1724.325,1746.135,1721.703,1746.135,328296416
3,2014-11-13,1743.865,1743.865,1699.714,1710.958,459805504
4,2014-11-14,1705.905,1713.35,1703.671,1709.724,284642528
5,2014-11-17,1711.687,1748.327,1708.02,1740.741,487660096
6,2014-11-18,1740.505,1756.228,1740.488,1755.758,404405856
7,2014-11-19,1774.364,1806.407,1774.364,1793.901,591056064
8,2014-11-20,1800.394,1800.394,1780.306,1788.811,571423360
9,2014-11-21,1788.962,1823.111,1788.738,1819.472,772970752
10,2014-11-24,1833.838,1846.822,1829.326,1844.031,802562880
11,2014-11-25,1859.217,1876.297,1856.953,1874.839,676761472
12,2014-11-26,1880.513,1891.297,1871.897,1882.669,752520192
13,2014-11-27,1883.091,1891.638,1863.758,1879.155,696331584
14,2014-11-28,1876.056,1897.863,1859.066,1876.068,755196160
15,2014-12-01,1870.932,1874.137,1849.807,1859.064,689741504
16,2014-12-02,1856.332,1875.401,1856.063,1872.394,633475264
17,2014-12-03,1876.294,1928.936,1856.434,1928.853,1183191680
18,2014-12-04,1931.532,1962.468,1931.429,1955.447,1033300416
19,2014-12-05,1963.424,1963.424,1867.399,1906.982,1036817984
20,2014-12-08,1897.984,1957.321,1877.538,1913.616,949063232
21,2014-12-09,1898.613,1961.769,1877.633,1883.281,1643790464
22,2014-12-10,1890.322,1994.485,1890.322,1991.56,1718714880
23,2014-12-11,1997.13,2019.059,1958.82,1980.395,1334060928
24,2014-12-12,1979.506,2023.285,1972.046,2018.945,1007473024
25,2014-12-15,2017.463,2055.2,2006.865,2047.893,886280384
26,2014-12-16,2058.247,2068.104,2020.03,2040.56,893661184
27,2014-12-17,2026.884,2038.055,1990.336,2012.44,863795200
28,2014-12-18,2011.034,2042.904,2006.729,2007.195,669398784
29,2014-12-19,1999.721,2000.276,1927.993,1958.403,756354880
30,2014-12-22,1945.63,1945.63,1864.885,1883.724,798024384
31,2014-12-23,1862.156,1922.087,1850.609,1856.297,570502592
32,2014-12-24,1864.18,1883.896,1860.041,1883.896,565134080
33,2014-12-25,1889.75,1905.148,1879.89,1902.825,536440992
34,2014-12-26,1905.23,1933.442,1899.091,1927.51,656302720
35,2014-12-29,1929.565,1936.206,1893.051,1902.999,861119104
36,2014-12-30,1892.806,1899.849,1827.969,1831.377,765025152
37,2014-12-31,1820.832,1841.456,1807.499,1829.761,553760256
38,2015-01-05,1831.45,1859.292,1796.257,1849.762,629237248
39,2015-01-06,1843.186,1939.037,1838.123,1931.942,837905216
40,2015-01-07,1937.881,1941.911,1905.838,1915.069,677429056
41,2015-01-08,1907.114,1952.241,1905.642,1926.628,667507200
42,2015-01-09,1913.916,1970.556,1912.45,1927.897,697424832
43,2015-01-12,1931.887,1966.391,1930.088,1958.931,617920192
44,2015-01-13,1958.757,2006.256,1950.468,1992.866,674769152
45,2015-01-14,1991.904,1999.362,1965.464,1971.821,508989280
46,2015-01-15,1969.763,1993.069,1965.248,1985.415,467356576
47,2015-01-16,1988.862,2083.405,1988.248,2078.313,851326336
48,2015-01-19,2033.972,2131.646,2015.234,2047.53,947943552
49,2015-01-20,2056.807,2125.207,2055.474,2125.207,830362880
50,2015-01-21,2123.73,2170.739,2120.613,2162.468,1076264064
51,2015-01-22,2162.7,2198.394,2158.781,2175.195,910782720
52,2015-01-23,2175.259,2180.48,2112.159,2118.01,847507968
53,2015-01-26,2121.682,2193.377,2121.682,2190.123,760762240
54,2015-01-27,2194.262,2200.415,2151.825,2182.708,778382080
55,2015-01-28,2178.808,2216.814,2166.35,2175.34,1070865344
56,2015-01-29,2153.126,2174.27,2145.349,2160.562,652206080
57,2015-01-30,2165.651,2173.194,2134.562,2135.54,710701376
58,2015-02-02,2114.679,2171.62,2107.888,2149.518,594618432
59,2015-02-03,2162.421,2228.135,2159.048,2211.258,768330688
60,2015-02-04,2217.474,2228.446,2202.88,2209.763,691627264
61,2015-02-05,2215.837,2317.265,2200.312,2263.776,1379643392
62,2015-02-06,2263.462,2280.736,2214.099,2225.225,981354560
63,2015-02-09,2223.861,2251.018,2189.706,2193.7,786199808
64,2015-02-10,2186.258,2252.507,2180.435,2252.449,637838656
65,2015-02-11,2255.587,2311.621,2255.587,2294.509,799370240
66,2015-02-12,2302.346,2328.317,2298.679,2316.291,808241472
67,2015-02-13,2324.998,2380.698,2324.998,2379.432,969036928
68,2015-02-16,2406.61,2501.337,2406.61,2498.22,1463401856
69,2015-02-17,2518.036,2522.023,2471.721,2504.432,1118023168
70,2015-02-25,2507.923,2507.923,2428.395,2434.219,1095667456
71,2015-02-26,2427.037,2455.08,2402.894,2453.919,896285312
72,2015-02-27,2453.671,2519.045,2444.23,2507.346,1176602752
73,2015-03-02,2503.309,2538.094,2489.905,2534.124,1166907776
74,2015-03-03,2520.937,2533.546,2476.481,2477.926,1150740480
75,2015-03-04,2476.168,2561.924,2476.168,2549.227,1264657024
76,2015-03-05,2548.484,2564.981,2530.832,2544.575,1223974144
77,2015-03-06,2545.111,2545.111,2469.853,2473.191,956208896
78,2015-03-09,2461.009,2518.423,2456.301,2518.114,764265792
79,2015-03-10,2530.366,2594.416,2529.298,2573.999,977563712
80,2015-03-11,2579.889,2599.227,2551.666,2569.555,1061303360
81,2015-03-12,2571.516,2595.718,2524.628,2561.582,1067824192
82,2015-03-13,2561.498,2603.872,2550.182,2602.813,865160448
83,2015-03-16,2628.197,2706.918,2628.197,2705.883,1246525440
84,2015-03-17,2718.984,2737.28,2682.648,2706.801,1222302848
85,2015-03-18,2704.701,2771.718,2688.86,2769.745,1203167232
86,2015-03-19,2764.883,2785.23,2743.65,2773.363,1084292736
87,2015-03-20,2789.362,2851.491,2788.222,2828.53,1217682688
88,2015-03-23,2852.155,2932.78,2852.155,2932.769,1346732672
89,2015-03-24,2965.367,3011.372,2887.051,2993.957,1619171840
90,2015-03-25,3000.89,3017.538,2960.657,2984.987,1287286656
91,2015-03-26,2948.518,2950.113,2851.341,2861.57,1207864320
92,2015-03-27,2843.277,2901.083,2842.802,2896.404,824352640
93,2015-03-30,2893.817,2907.32,2849.205,2878.417,958266176
94,2015-03-31,2879.987,2942.984,2868.277,2904.671,1096926976
95,2015-04-01,2900.625,2970.118,2898.844,2962.098,1124176128
96,2015-04-02,2975.707,3008.368,2951.458,2998.818,1244465024
97,2015-04-03,2982.539,3034.025,2971.187,3026.312,1456038784
98,2015-04-07,3040.839,3066.254,3033.028,3064.774,1331824512
99,2015-04-08,3074.924,3074.924,2939.108,2981.019,1431617792
100,2015-04-09,2973.349,2973.349,2836.331,2958.156,1182665472
101,2015-04-10,2951.667,3034.561,2947.404,3025.208,990859200
102,2015-04-13,3023.624,3032.046,2989.597,3022.86,1050080832
103,2015-04-14,3014.643,3028.378,2974.827,2991.664,989971456
104,2015-04-15,2994.432,2994.432,2866.281,2866.625,944745664
105,2015-04-16,2853.131,2946.595,2846.202,2908.867,806475648
106,2015-04-17,2940.649,2965.903,2922.192,2938.812,1120750080
107,2015-04-20,2943.176,2973.839,2900.194,2911.982,1188726272
108,2015-04-21,2953.249,3068.025,2953.249,3067.756,1113176832
109,2015-04-22,3125.164,3196.991,3125.164,3190.774,1404893568
110,2015-04-23,3249.641,3313.106,3249.641,3300.113,1428625664
111,2015-04-24,3316.115,3383.116,3301.834,3374.283,1362618496
112,2015-04-27,3456.579,3468.522,3381.849,3397.195,1342322432
113,2015-04-28,3426.278,3426.313,3273.043,3319.754,1193207424
114,2015-04-29,3328.366,3488.924,3292.946,3488.816,1164159488
115,2015-04-30,3542.008,3658.936,3541.218,3568.238,1168778112
116,2015-05-04,3606.113,3613.451,3487.043,3504.915,1027449344
117,2015-05-05,3492.927,3492.927,3352.17,3382.178,1101896576
118,2015-05-06,3407.947,3542.146,3397.166,3426.204,1079238016
119,2015-05-07,3393.724,3469.516,3378.209,3388.303,964104448
120,2015-05-08,3446.359,3577.76,3446.359,3576.702,1272710784
121,2015-05-11,3641.773,3795.146,3617.242,3791.57,1563402496
122,2015-05-12,3829.207,3955.423,3819.275,3948.022,1570771840
123,2015-05-13,3925.688,4109.102,3877.717,3998.765,1872142848
124,2015-05-14,3973.978,4006.969,3881.421,3883.79,1624632192
125,2015-05-15,3836.274,3944.077,3802.287,3906.636,1582221312
126,2015-05-18,3921.046,4049.035,3921.046,4007.783,1457603840
127,2015-05-19,4027.211,4083.354,3952.46,4066.138,1460914560
128,2015-05-20,4094.302,4238.727,4089.749,4162.291,1609458432
129,2015-05-21,4179.838,4251.303,4156.421,4244.17,1562407168
130,2015-05-22,4311.418,4336.732,4177.632,4274.507,1942833920
131,2015-05-25,4164.457,4286.432,4133.243,4264.526,1646016768
132,2015-05-26,4243.134,4428.167,4243.134,4425.575,1711760640
133,2015-05-27,4443.318,4446.994,4313.715,4366.638,1549913600
134,2015-05-28,4342.674,4384.039,4085.548,4087.881,1678019072
135,2015-05-29,4104.485,4237.468,3986.75,4172.286,1251379200
136,2015-06-01,4209.342,4394.539,4208.627,4386.964,1193955584
137,2015-06-02,4434.361,4629.81,4425.374,4628.845,1415085056
138,2015-06-03,4680.259,4717.982,4547.33,4696.863,1482248832
139,2015-06-04,4696.523,4732.084,4372.46,4660.479,1420716416
140,2015-06-05,4705.372,4735.33,4535.559,4580.334,1454650368
141,2015-06-08,4544.831,4544.831,4345.821,4453.25,1311801728
142,2015-06-09,4420.998,4545.516,4380.34,4456.263,1241607808
143,2015-06-10,4422.385,4669.698,4416.778,4616.67,1495499904
144,2015-06-11,4619.339,4656.749,4574.688,4617.625,1438710272
145,2015-06-12,4627.114,4728.564,4613.631,4713.624,1403009408
146,2015-06-15,4741.835,4741.835,4537.457,4542.942,1389383936
147,2015-06-16,4473.68,4477.866,4298.482,4394.422,1274619520
148,2015-06-17,4377.723,4549.728,4296.335,4531.96,1163380608
149,2015-06-18,4514.77,4526.417,4255.669,4256.029,1117132672
150,2015-06-19,4168.945,4186.167,4005.21,4018.378,1105950208
151,2015-06-23,3976.476,4023.443,3773.367,4021.658,1112012800
152,2015-06-24,4063.417,4095.838,3920.253,4013.102,1138012416
153,2015-06-25,4032.658,4035.181,3735.099,3762.365,1139141120
154,2015-06-26,3610.154,3610.154,3432.614,3434.458,1067107776
155,2015-06-29,3427.638,3449.565,3145.588,3172.728,1295054336
156,2015-06-30,3050.031,3375.649,2963.571,3366.8,1701680128
157,2015-07-01,3331.888,3503.157,3211.951,3215.025,1614548736
158,2015-07-02,3203.508,3280.692,3030.545,3082.738,1520617216
159,2015-07-03,2990.01,3222.48,2862.093,3000.279,1750750848
160,2015-07-06,3210.047,3210.047,2814.454,2914.413,1932746752
161,2015-07-07,2797.522,2828.041,2727.427,2738.908,1053202752
162,2015-07-08,2664.614,2699.461,2664.614,2677.16,1151167232
163,2015-07-09,2628.108,2781.636,2628.108,2781.636,900465792
164,2015-07-10,2817.361,2896.429,2814.349,2896.429,586819712
165,2015-07-13,2959.851,3050.573,2947.894,3050.573,897214592
166,2015-07-14,3094.164,3201.22,3087.093,3099.082,1277713408
167,2015-07-15,3139.332,3139.332,2946.766,2953.044,1853325184
168,2015-07-16,2915.978,3070.219,2800.166,3000.4,1463912704
169,2015-07-17,3020.57,3178.701,3011.919,3153.598,1400906752
170,2015-07-20,3181.265,3269.285,3142.274,3209.922,1638065280
171,2015-07-21,3167.581,3285.117,3167.216,3242.0,1380253952
172,2015-07-22,3248.4,3316.974,3211.43,3275.435,1363828608
173,2015-07-23,3289.693,3392.368,3269.816,3392.045,1505682304
174,2015-07-24,3407.27,3434.495,3281.983,3306.926,1635334656
175,2015-07-27,3224.634,3359.29,3097.849,3098.568,1698145664
176,2015-07-28,2979.183,3125.248,2908.112,3006.545,1633159552
177,2015-07-29,3048.245,3154.673,2953.857,3154.03,1409219840
178,2015-07-30,3139.211,3200.328,3038.459,3052.041,1423904512
179,2015-07-31,3008.396,3091.276,2981.031,3022.031,1085437184
180,2015-08-03,2953.413,2973.588,2850.318,2893.737,1107444864
181,2015-08-04,2901.333,3046.55,2881.865,3046.382,1047571520
182,2015-08-05,3040.934,3062.693,2959.764,2972.804,951075648
183,2015-08-06,2906.674,2976.326,2897.884,2934.391,618679040
184,2015-08-07,2962.549,3047.559,2962.549,3038.011,858382784
185,2015-08-10,3063.678,3193.653,3058.43,3176.599,1030482560
186,2015-08-11,3186.915,3243.756,3161.323,3196.539,1025617024
187,2015-08-12,3162.687,3220.678,3148.082,3148.257,867017856
188,2015-08-13,3134.837,3231.916,3118.246,3231.77,869023104
189,2015-08-14,3253.73,3262.625,3198.373,3207.546,863567104
190,2015-08-17,3187.529,3198.938,3128.648,3191.244,806499520
191,2015-08-18,3194.388,3241.475,2986.27,2996.986,1046081600
192,2015-08-19,2922.559,3080.081,2854.891,3064.432,926632256
193,2015-08-20,3044.394,3097.581,2988.569,2988.805,887175488
194,2015-08-21,2937.307,2961.276,2815.279,2820.628,774255808
195,2015-08-24,2696.999,2710.785,2631.953,2632.048,599630656
196,2015-08-25,2476.206,2532.249,2463.333,2465.337,773669568
197,2015-08-26,2452.06,2526.099,2348.804,2363.619,1192343168
198,2015-08-27,2403.335,2448.703,2323.358,2448.312,1215413376
199,2015-08-28,2483.045,2578.962,2454.003,2568.863,1248025984
200,2015-08-31,2527.393,2528.674,2465.622,2505.795,1068947008
201,2015-09-01,2450.717,2454.366,2379.278,2413.762,1049375936
202,2015-09-02,2303.749,2472.329,2293.278,2388.288,1197186816
203,2015-09-07,2411.56,2484.345,2404.313,2420.188,1136947968
204,2015-09-08,2380.878,2522.96,2347.614,2516.793,1060159168
205,2015-09-09,2527.178,2611.951,2523.361,2568.488,1667601024
206,2015-09-10,2520.894,2579.852,2516.267,2544.333,1061194432
207,2015-09-11,2537.016,2586.461,2531.609,2576.374,920907840
208,2015-09-14,2583.848,2589.675,2404.171,2437.277,1100148864
209,2015-09-15,2371.492,2417.827,2309.268,2321.683,931954496
210,2015-09-16,2325.042,2465.34,2325.042,2459.846,1031570240
211,2015-09-17,2463.485,2539.205,2428.113,2428.695,1324272896
212,2015-09-18,2445.623,2492.059,2419.577,2474.387,970475328
213,2015-09-21,2441.319,2588.491,2437.922,2586.983,1119039744
214,2015-09-22,2589.897,2621.164,2544.504,2587.621,1137634944
215,2015-09-23,2547.549,2604.143,2546.294,2576.156,860574976
216,2015-09-24,2598.519,2641.085,2598.519,2621.209,999961024
217,2015-09-25,2602.902,2616.836,2502.979,2516.434,879809344
218,2015-09-28,2528.684,2605.908,2502.724,2603.501,764309376
219,2015-09-29,2570.928,2609.373,2554.061,2575.781,736270400
220,2015-09-30,2588.231,2596.853,2526.216,2555.566,613986880
221,2015-10-08,2627.483,2676.768,2606.417,2654.495,952386688
222,2015-10-09,2648.151,2684.016,2637.002,2669.385,961827584
223,2015-10-12,2677.787,2799.437,2673.739,2760.548,1446078336
224,2015-10-13,2734.652,2804.408,2730.535,2796.622,1226565120
225,2015-10-14,2781.661,2806.406,2748.432,2756.344,1068201472
226,2015-10-15,2761.187,2867.953,2761.187,2867.503,1245887872
227,2015-10-16,2889.552,2954.079,2886.15,2949.32,1445061504
228,2015-10-19,2976.028,2976.17,2902.357,2943.773,1308009600
229,2015-10-20,2938.96,3041.765,2938.927,3031.896,1209455872
230,2015-10-21,3017.288,3023.782,2829.371,2842.019,1460127360
231,2015-10-22,2849.849,2947.234,2848.627,2934.803,1067169216
232,2015-10-23,2955.567,3021.09,2920.583,3007.409,1403540864
233,2015-10-26,3035.201,3035.201,2938.709,2990.545,1462617344
234,2015-10-27,2965.35,3076.757,2894.793,3057.404,1363361792
235,2015-10-28,3044.336,3069.267,2950.172,2959.389,1272967040
236,2015-10-29,2981.583,3010.442,2913.012,2960.793,917048192
237,2015-10-30,2955.153,3033.585,2919.753,2972.451,1141261184
238,2015-11-02,2907.284,3007.689,2901.838,2924.595,961727232
239,2015-11-03,2936.927,2958.602,2902.797,2927.696,786238656
240,2015-11-04,2945.928,3084.337,2945.928,3084.137,1364102912
241,2015-11-05,3088.953,3148.352,3052.256,3068.715,1663628416
242,2015-11-06,3071.492,3184.475,3071.492,3178.196,1473300096
243,2015-11-09,3171.821,3269.462,3138.396,3239.442,1607906176
244,2015-11-10,3227.783,3327.913,3223.571,3272.59,1626427904
